Chromosome	Start	Stop	Midbrain	Hindbrain	Neural-Tube	Limb
chr1	109514249	109514854	0	0	0	0
chr1	118776526	118778049	0	1	0	0
chr1	118988411	118994612	0	0	0	0
chr1	127530775	127531768	0	0	0	0
chr1	129954812	129956885	0	0	0	0
chr1	133079893	133080922	1	1	1	0
chr1	133549313	133550886	0	0	0	0
chr1	133744226	133745595	0	0	0	0
chr1	138405488	138407331	0	0	0	0
chr1	138499159	138501331	1	1	0	0
chr1	148482150	148483265	0	0	0	0
chr1	154033856	154034857	0	0	0	0
chr1	155038428	155040657	0	0	0	0
chr1	158265467	158268046	1	1	0	0
chr1	162074031	162077560	0	0	0	1
chr1	162830457	162833967	1	1	1	1
chr1	163897221	163899818	0	0	0	1
chr1	165934234	165936307	1	1	1	0
chr1	168168619	168170073	0	0	0	0
chr1	168268572	168269856	0	0	0	0
chr1	168294791	168296737	0	0	0	0
chr1	168299764	168300980	0	0	0	0
chr1	168327071	168328497	0	0	0	0
chr1	168341597	168342833	0	1	0	0
chr1	168357093	168358535	0	1	0	0
chr1	168760968	168763110	0	0	0	0
chr1	168908405	168909387	0	0	0	0
chr1	168991094	168992056	0	0	0	0
chr1	169343699	169345191	0	0	0	1
chr1	169385394	169386297	1	1	0	0
chr1	169476672	169478007	0	0	0	0
chr1	177150037	177151455	1	1	1	0
chr1	177171230	177171899	0	0	0	0
chr1	177447324	177448425	0	0	0	0
chr1	180208457	180212548	0	0	0	0
chr1	181255937	181259663	0	0	0	0
chr1	182109962	182112053	0	0	0	0
chr1	184041270	184042781	0	0	0	0
chr1	186908316	186910077	0	0	0	0
chr1	186922310	186923505	0	1	0	0
chr1	187248277	187249469	0	0	0	0
chr1	188118946	188119938	0	0	0	0
chr1	188883843	188885251	0	0	0	0
chr1	190061318	190062349	0	0	0	0
chr1	190653740	190655122	0	0	0	0
chr1	190727303	190730173	0	0	0	0
chr1	191239013	191241716	0	0	1	0
chr1	192784315	192784989	0	0	0	0
chr1	192789593	192791084	0	0	0	0
chr1	192798093	192800700	0	0	0	1
chr1	192806324	192807093	0	0	0	0
chr1	192822579	192825952	0	0	0	0
chr1	192851640	192852457	0	0	0	0
chr1	193141048	193141723	0	0	0	1
chr1	193449329	193450185	0	0	0	0
chr1	193989014	193991784	0	0	0	0
chr10	8968318	8968915	0	0	0	0
chr10	17228735	17232666	1	1	0	0
chr10	19077703	19080447	0	0	0	0
chr10	20484902	20488767	0	0	0	0
chr10	21081770	21084133	0	0	0	0
chr10	24493263	24494942	0	0	0	0
chr10	35105833	35118866	0	0	0	0
chr10	36483581	36486087	1	0	0	1
chr10	38552269	38556079	1	1	1	0
chr10	39657714	39661924	0	0	1	0
chr10	42250903	42252281	0	0	0	0
chr10	42634080	42635172	0	0	0	0
chr10	42635863	42636982	0	0	0	0
chr10	43722435	43724831	0	0	0	0
chr10	43746138	43746678	0	0	0	0
chr10	45139829	45141705	0	0	0	0
chr10	45228613	45231786	0	0	0	1
chr10	45893125	45894695	0	0	0	1
chr10	49984349	49985953	0	0	0	1
chr10	50833719	50834473	0	0	0	0
chr10	50901663	50902601	1	0	1	0
chr10	51257066	51258554	1	0	0	0
chr10	52741812	52745154	1	1	1	0
chr10	56979108	56981816	0	0	0	0
chr10	59442760	59444333	0	0	0	0
chr10	59967734	59971225	0	0	0	0
chr10	62128052	62130842	0	0	0	0
chr10	70733384	70734387	0	0	0	0
chr10	80773811	80774999	0	0	0	0
chr10	86294227	86297417	0	0	0	0
chr10	87292836	87293886	1	0	0	0
chr10	87324267	87326929	1	0	0	0
chr10	87388706	87389893	0	0	0	0
chr10	87446548	87449489	1	1	0	0
chr10	87473281	87474590	1	1	1	0
chr10	87500258	87501668	0	0	0	0
chr10	87868234	87870738	0	0	0	1
chr10	92555686	92557808	0	0	0	0
chr10	96708320	96708857	0	0	0	0
chr10	108587857	108589362	0	0	0	0
chr10	119760179	119762863	0	1	0	0
chr10	120551958	120553597	0	1	1	0
chr10	125809054	125811061	0	0	0	1
chr10	125921037	125928970	0	0	0	1
chr11	11527967	11528770	0	0	0	0
chr11	11675621	11677027	0	0	0	0
chr11	11699170	11700205	0	0	0	0
chr11	11753227	11753958	0	0	0	0
chr11	11836360	11837998	0	0	0	0
chr11	11956742	11957743	0	0	0	0
chr11	11961856	11962621	0	0	0	0
chr11	18161774	18165394	0	0	0	0
chr11	18170843	18172953	0	0	0	0
chr11	18356946	18358282	0	1	0	0
chr11	18604266	18605268	0	0	0	0
chr11	18749398	18750623	0	0	0	0
chr11	18916164	18918730	0	0	0	0
chr11	18929400	18930770	0	0	0	0
chr11	19159805	19161021	0	0	0	0
chr11	19264922	19266021	0	0	0	0
chr11	19349982	19351625	0	0	0	0
chr11	22002480	22003824	1	1	0	0
chr11	22010037	22011279	0	0	0	0
chr11	22068163	22068901	0	0	0	0
chr11	22078416	22079452	1	0	0	0
chr11	24015166	24017101	0	1	0	0
chr11	24062086	24063576	0	0	0	0
chr11	24095054	24096665	0	0	0	0
chr11	24312332	24314280	0	0	0	0
chr11	24329867	24333908	0	1	0	0
chr11	24370835	24371855	0	0	0	0
chr11	24427204	24428274	1	0	0	0
chr11	24474193	24474926	0	0	0	0
chr11	24484733	24486202	0	0	0	0
chr11	24618259	24619578	0	0	0	0
chr11	24708578	24710421	0	0	0	0
chr11	24763882	24765510	0	0	0	0
chr11	24783037	24784368	0	0	0	0
chr11	24839672	24841740	0	0	0	0
chr11	24848028	24849346	0	0	0	0
chr11	24927449	24928489	0	0	0	0
chr11	24974129	24978364	0	0	0	0
chr11	24981420	24984196	0	0	0	0
chr11	25113307	25113939	1	0	0	0
chr11	25287254	25288542	0	0	0	0
chr11	25356345	25357682	0	1	1	0
chr11	25529955	25532986	1	0	0	0
chr11	25639787	25642410	0	0	0	0
chr11	25644060	25645642	0	0	0	0
chr11	25663686	25664863	0	0	0	0
chr11	25674201	25676633	0	0	0	0
chr11	25703628	25705173	0	0	0	0
chr11	25732272	25732988	0	0	0	0
chr11	25736856	25738024	0	0	0	0
chr11	25872524	25873791	0	0	0	1
chr11	25901725	25903091	0	0	0	0
chr11	25978213	25979693	0	0	0	0
chr11	26005543	26007097	0	0	0	1
chr11	26007936	26009346	0	0	0	0
chr11	26060684	26063810	0	0	0	0
chr11	26072119	26072975	0	0	0	0
chr11	26099721	26100689	0	0	0	0
chr11	26120371	26122138	0	0	0	0
chr11	26163483	26164974	0	0	0	0
chr11	26489088	26491733	0	0	0	1
chr11	26773588	26774876	0	0	0	0
chr11	26975528	26976371	0	0	0	0
chr11	32245270	32246411	0	0	0	0
chr11	32250452	32252344	0	0	0	0
chr11	33191798	33193112	0	0	0	0
chr11	33299598	33301607	0	1	0	0
chr11	33342866	33343782	0	0	0	0
chr11	33392412	33393558	0	0	0	0
chr11	33399828	33401076	0	0	1	0
chr11	33429906	33431024	0	0	0	0
chr11	36349884	36351180	0	0	0	0
chr11	44625594	44626697	0	0	0	0
chr11	44634332	44635609	0	1	1	0
chr11	44656475	44657869	1	1	1	0
chr11	44799727	44801437	0	0	1	0
chr11	44903240	44904998	0	0	0	0
chr11	44987161	44988462	1	0	0	0
chr11	45136390	45137667	0	0	0	1
chr11	45388288	45390404	0	0	0	0
chr11	45549892	45551315	0	0	0	1
chr11	45805317	45806045	0	0	0	0
chr11	46201358	46203267	0	0	0	0
chr11	47283315	47285732	0	0	0	0
chr11	51940536	51946108	0	0	0	0
chr11	54056663	54059415	1	1	0	0
chr11	54060072	54061368	0	0	0	0
chr11	57650678	57652744	0	0	0	0
chr11	57847462	57847793	0	0	0	0
chr11	57962140	57963143	0	0	0	0
chr11	62983404	62986950	0	1	1	0
chr11	64898596	64900939	0	0	0	0
chr11	65208855	65210457	0	0	0	0
chr11	65435465	65436246	0	0	0	0
chr11	65648906	65651643	0	0	0	0
chr11	68623475	68624174	0	0	0	0
chr11	68637699	68640744	0	0	0	0
chr11	75046156	75048336	0	0	0	0
chr11	75049027	75050435	0	0	0	1
chr11	77422469	77424456	0	0	0	0
chr11	79050757	79055494	0	0	0	0
chr11	81612790	81613808	1	1	1	0
chr11	84376005	84377109	0	0	0	0
chr11	84395730	84396774	0	0	0	0
chr11	84481126	84482244	0	0	0	0
chr11	84496288	84496920	0	1	0	0
chr11	84725827	84726602	0	0	0	0
chr11	84766073	84766769	0	0	0	1
chr11	85712703	85714068	0	0	0	0
chr11	86167092	86168104	0	0	0	0
chr11	86570110	86571719	0	0	0	0
chr11	86586196	86587829	0	0	0	0
chr11	86623483	86625583	0	0	0	0
chr11	87422350	87423713	0	0	1	0
chr11	88180548	88181652	0	0	0	0
chr11	88274079	88276075	1	1	1	0
chr11	88467416	88468720	0	0	0	0
chr11	88527850	88529479	0	0	0	0
chr11	88554791	88555816	0	0	0	0
chr11	89717798	89719510	0	0	0	0
chr11	94880928	94883811	0	1	1	0
chr11	95339208	95341127	0	0	0	0
chr11	95355809	95358196	0	0	0	0
chr11	96292065	96292579	0	0	0	0
chr11	96741475	96742608	0	0	0	0
chr11	96826221	96827189	0	0	0	0
chr11	96883318	96887851	1	1	0	0
chr11	98157859	98158466	0	0	0	0
chr11	98339002	98339485	1	0	0	0
chr11	98377499	98380382	0	0	0	0
chr11	98391902	98395006	0	0	0	0
chr11	98747152	98751430	0	0	0	0
chr11	101801412	101802123	0	0	0	0
chr11	101829827	101831016	0	0	0	0
chr11	101867301	101868287	0	0	0	0
chr11	102363033	102364797	0	0	0	0
chr11	102592756	102596210	0	0	0	0
chr11	104642397	104643585	0	0	0	0
chr11	109269057	109271054	0	0	1	0
chr11	111563100	111564002	0	0	0	1
chr11	111827912	111829224	0	0	0	1
chr11	112027526	112029618	0	0	0	0
chr11	112411865	112413667	0	0	0	1
chr11	113013161	113015514	0	0	0	1
chr11	113733041	113734346	0	0	0	0
chr11	113981120	113983291	0	0	0	0
chr11	115670278	115671107	0	0	0	0
chr11	116319003	116319995	0	0	0	0
chr12	8385674	8387403	0	0	0	0
chr12	9337517	9339601	0	0	0	1
chr12	9368203	9369315	0	0	0	0
chr12	9550103	9551455	0	0	0	0
chr12	12179096	12179918	0	0	0	0
chr12	12707412	12712118	1	0	0	0
chr12	25123955	25126084	1	1	1	0
chr12	25891576	25892364	0	0	0	1
chr12	26450824	26452317	0	0	0	0
chr12	27563452	27566844	1	1	1	0
chr12	28816804	28818905	1	1	0	0
chr12	31309962	31311476	0	0	0	1
chr12	33955273	33957220	0	0	0	0
chr12	33964466	33967804	0	0	0	0
chr12	34199630	34200876	0	1	0	1
chr12	34215260	34216361	0	0	0	1
chr12	34219669	34221314	0	0	0	1
chr12	36793076	36795299	0	0	0	0
chr12	38435534	38436644	0	1	0	0
chr12	39301104	39302161	0	0	0	0
chr12	39341789	39342579	1	1	0	0
chr12	44402519	44405770	1	0	0	0
chr12	46020363	46021772	0	1	1	0
chr12	47464984	47466845	0	0	0	0
chr12	48010973	48011714	0	0	0	0
chr12	48388112	48389934	0	0	0	0
chr12	48634484	48635346	0	0	0	0
chr12	49374505	49376068	0	1	0	0
chr12	49510396	49511504	0	0	0	0
chr12	49886734	49888068	0	0	0	0
chr12	49944709	49946539	0	0	0	0
chr12	49973353	49975979	0	1	0	0
chr12	49991792	49994219	0	1	0	0
chr12	50119059	50123529	1	0	0	0
chr12	50157459	50158808	0	0	0	0
chr12	50171735	50172961	0	0	0	0
chr12	50190555	50191885	0	0	1	0
chr12	50260206	50261402	0	0	0	0
chr12	50294630	50296354	0	0	0	0
chr12	50970036	50971348	0	0	0	0
chr12	51001401	51003291	0	1	0	0
chr12	51274162	51276029	0	0	0	0
chr12	52228848	52229426	0	0	0	0
chr12	52833658	52837423	0	0	0	0
chr12	53623550	53625385	0	0	0	0
chr12	53872242	53873017	0	0	0	0
chr12	53926314	53927018	0	0	0	0
chr12	54000471	54001518	0	0	0	0
chr12	54161494	54163193	0	0	0	0
chr12	54532609	54534941	0	0	0	0
chr12	55614270	55615258	0	0	0	0
chr12	55643542	55644223	0	0	0	0
chr12	56114128	56116274	0	0	0	0
chr12	56386861	56388474	0	1	0	0
chr12	56440796	56441827	0	0	0	0
chr12	56454748	56456277	0	0	0	0
chr12	56458078	56460488	0	0	0	0
chr12	56481967	56483344	1	1	0	0
chr12	56520183	56521029	0	0	0	0
chr12	57291377	57292384	1	0	0	0
chr12	73050612	73052572	0	0	0	0
chr12	79505602	79509359	0	0	0	0
chr12	79535235	79536539	0	0	0	1
chr12	79731439	79734658	0	0	0	0
chr12	79846272	79849070	0	0	0	1
chr12	83072395	83074413	1	0	0	0
chr12	84175691	84176743	0	0	0	0
chr12	85435374	85436988	0	0	0	0
chr12	85454385	85456659	0	0	0	0
chr12	86800572	86803602	1	1	1	1
chr12	86810598	86813301	0	0	0	0
chr12	86815545	86817582	0	0	0	0
chr12	86894665	86899694	0	0	0	0
chr12	88983898	88984926	1	0	0	0
chr12	90131977	90133515	0	0	1	0
chr12	91677577	91681083	1	0	0	0
chr12	99338620	99341370	0	0	1	0
chr12	104939330	104940069	0	0	0	0
chr12	106377315	106378522	0	0	0	0
chr12	106479344	106480241	0	0	0	0
chr12	107777918	107778911	0	0	0	0
chr12	109507924	109510969	1	0	0	0
chr12	111142738	111143613	0	1	1	0
chr12	117805673	117806846	0	0	0	0
chr12	117989130	117989689	0	0	1	0
chr12	118499993	118501065	0	0	0	0
chr12	118647247	118648361	1	0	0	0
chr12	118650488	118651732	1	1	1	0
chr12	118702747	118704293	0	0	0	1
chr12	118719668	118721135	0	0	0	0
chr12	118725449	118726903	0	0	0	0
chr12	118834480	118836076	0	0	0	0
chr12	118840044	118841444	0	0	0	0
chr12	118843462	118844556	0	0	0	0
chr13	3726203	3727215	0	0	0	0
chr13	3741069	3744545	0	0	0	0
chr13	5840305	5842324	0	0	0	1
chr13	12124819	12128579	0	0	0	0
chr13	12131484	12133919	1	1	0	0
chr13	12365827	12370426	0	0	0	0
chr13	12502078	12504879	1	1	1	0
chr13	15154944	15158127	0	0	0	0
chr13	15301053	15302135	0	0	0	0
chr13	15485450	15487168	1	1	0	0
chr13	15543030	15545007	0	0	0	0
chr13	15548974	15550833	0	0	0	1
chr13	15664354	15665305	0	0	0	0
chr13	16011020	16012852	0	0	0	0
chr13	26153953	26156126	1	1	1	0
chr13	28415132	28417928	1	1	1	0
chr13	28717646	28719441	0	0	1	0
chr13	28958079	28960359	0	0	1	0
chr13	29609186	29611829	1	1	1	0
chr13	34247185	34249843	1	0	0	0
chr13	34285394	34290493	1	1	0	0
chr13	34827566	34828899	0	0	0	0
chr13	35212314	35213577	0	0	0	0
chr13	37877817	37879534	0	0	0	0
chr13	38170602	38171728	0	0	0	0
chr13	39523268	39524849	1	0	0	1
chr13	40712299	40713499	0	0	0	0
chr13	40725554	40728254	0	0	0	0
chr13	41643212	41644683	0	0	0	0
chr13	42258101	42259051	0	0	0	0
chr13	43195920	43197079	0	0	0	0
chr13	46571320	46574349	1	0	0	0
chr13	46735395	46736634	0	0	0	0
chr13	46884783	46885858	0	0	0	0
chr13	47310584	47312217	0	0	0	0
chr13	47367148	47369939	0	0	0	0
chr13	47397122	47398796	0	0	0	0
chr13	48012107	48014217	0	0	0	0
chr13	48158420	48162088	1	0	0	0
chr13	48383545	48384932	0	0	0	0
chr13	48565958	48567063	0	0	0	0
chr13	48716450	48718010	0	0	0	0
chr13	48779624	48781302	1	1	0	0
chr13	51920205	51921621	1	1	1	1
chr13	53463203	53464849	0	1	0	1
chr13	55404357	55406967	0	0	0	0
chr13	55816415	55818354	0	0	0	0
chr13	56159018	56161187	0	0	0	1
chr13	59090184	59094158	1	1	0	0
chr13	60145681	60149199	1	1	1	1
chr13	60267007	60270395	0	0	0	1
chr13	63554160	63555734	1	1	1	0
chr13	63568917	63569745	0	0	0	0
chr13	64205082	64205636	0	0	0	0
chr13	72028466	72029899	1	0	0	0
chr13	72264953	72266324	0	0	0	0
chr13	72288437	72289483	0	1	0	0
chr13	72297848	72299335	1	0	1	0
chr13	72302372	72303422	0	1	0	0
chr13	72305068	72305867	0	0	0	0
chr13	73116617	73118032	0	0	0	0
chr13	73298274	73300313	0	0	0	0
chr13	77396354	77397884	0	0	0	0
chr13	77489933	77491149	0	0	0	0
chr13	77892212	77893533	1	0	0	0
chr13	78323865	78325614	0	0	0	1
chr13	78444587	78447858	0	0	0	0
chr13	78580584	78582512	0	0	0	0
chr13	78600965	78603744	0	1	0	0
chr13	78657998	78659030	0	0	0	0
chr13	78677945	78679173	0	0	0	0
chr13	78716135	78718955	0	0	0	0
chr13	78799152	78800925	0	0	0	0
chr13	78935865	78937114	0	0	0	0
chr13	78937242	78939009	0	0	0	0
chr13	79046725	79047912	0	0	0	0
chr13	79136177	79138027	1	1	1	0
chr13	79272749	79274244	0	0	0	0
chr13	79276255	79278384	0	0	0	1
chr13	79344817	79346717	0	0	1	0
chr13	79363794	79364868	0	0	0	1
chr13	79387206	79390321	1	0	0	0
chr13	79550327	79551467	0	0	0	0
chr13	79592240	79593126	0	0	0	0
chr13	79672964	79673969	0	0	0	0
chr13	79784602	79786014	0	0	0	0
chr13	79999668	80001749	1	1	1	0
chr13	80172718	80173903	0	0	0	0
chr13	80194996	80195884	0	0	0	0
chr13	80196157	80196965	0	0	0	0
chr13	80235007	80236097	1	0	0	0
chr13	80333812	80334640	0	0	0	0
chr13	80513987	80516010	0	1	0	0
chr13	80622907	80623514	1	1	0	0
chr13	80756720	80758239	0	0	0	0
chr13	80788037	80789707	0	0	0	0
chr13	82971258	82972346	0	0	0	0
chr13	83132395	83134519	0	0	0	0
chr13	83523874	83524381	0	0	0	0
chr13	84059503	84060615	1	1	1	0
chr13	84570408	84572167	1	1	1	0
chr13	84638983	84639970	0	0	0	0
chr13	84751364	84753074	0	0	0	0
chr13	91186994	91190170	0	0	0	1
chr13	94595529	94597246	0	0	0	0
chr13	94701860	94702912	0	0	0	0
chr13	94705527	94708908	1	1	1	0
chr13	94709854	94710891	0	0	0	0
chr13	94816164	94818068	0	0	0	0
chr13	94868895	94869433	0	0	0	0
chr13	94873844	94874877	0	0	0	0
chr13	105537275	105539272	0	0	0	0
chr13	111345677	111346778	0	0	0	0
chr13	111952900	111955571	0	0	0	1
chr13	111989320	111993362	1	0	0	0
chr13	113243520	113248070	0	0	0	0
chr13	115686619	115688040	0	0	0	0
chr13	115976803	115978241	0	0	0	0
chr13	116086721	116088319	1	1	1	0
chr13	116278490	116280024	0	0	0	0
chr13	116497241	116498253	0	0	0	0
chr13	116514002	116515994	0	0	0	0
chr13	116575049	116576418	0	1	0	0
chr13	116632748	116634332	0	0	0	0
chr13	118515838	118517025	0	0	0	0
chr13	118713610	118715012	0	0	0	1
chr13	118735524	118737413	0	0	0	1
chr13	118805891	118807124	0	0	0	0
chr13	118850473	118851390	0	0	0	0
chr13	118893846	118894760	0	0	0	0
chr14	11775621	11779078	0	0	0	0
chr14	12337474	12338440	0	0	0	0
chr14	12346491	12347182	1	0	0	0
chr14	12392521	12394811	0	0	0	0
chr14	13770324	13771435	1	1	1	0
chr14	21252002	21253228	1	0	0	0
chr14	21462242	21463695	0	0	1	1
chr14	21853194	21853685	0	0	0	0
chr14	21865849	21867377	0	0	0	1
chr14	21966827	21968239	0	0	0	0
chr14	21990858	21991990	1	0	0	1
chr14	22113215	22115951	1	0	0	1
chr14	22457274	22458561	0	0	0	0
chr14	22505360	22506121	0	1	1	0
chr14	22576141	22579755	0	0	1	0
chr14	22744936	22746392	0	0	0	0
chr14	22780721	22784636	0	0	0	0
chr14	22906034	22908415	0	0	0	0
chr14	23014212	23023263	0	0	1	1
chr14	23040563	23041478	0	0	0	0
chr14	23094627	23095917	0	0	0	0
chr14	23400710	23402961	0	0	0	0
chr14	23486013	23486602	0	0	0	0
chr14	23493824	23494811	0	0	0	0
chr14	23520146	23521598	0	0	0	0
chr14	24616740	24620772	1	1	0	0
chr14	24985263	24987167	0	0	0	1
chr14	25524623	25526558	0	0	0	0
chr14	25584835	25588921	0	0	0	0
chr14	27367008	27367960	0	0	0	0
chr14	28501106	28502535	0	0	0	0
chr14	28972334	28973645	0	1	0	1
chr14	31232334	31234714	0	0	0	0
chr14	32598253	32599721	0	0	0	0
chr14	32770674	32771522	0	0	0	0
chr14	45825150	45827947	0	0	0	1
chr14	45943840	45945127	0	0	1	1
chr14	46017040	46020810	0	0	0	0
chr14	46223997	46224959	0	0	0	0
chr14	46247450	46249128	0	0	0	0
chr14	46605651	46606520	0	0	0	1
chr14	46610670	46611777	0	0	0	0
chr14	48707510	48711185	0	0	0	0
chr14	48799224	48801650	0	0	0	0
chr14	48814603	48816118	1	0	0	0
chr14	48852340	48856614	1	0	0	0
chr14	52547406	52549170	0	0	0	0
chr14	54938004	54941428	0	0	0	0
chr14	54996106	54997707	0	0	0	0
chr14	61004739	61005741	0	0	0	0
chr14	63062164	63063066	1	0	1	0
chr14	63206721	63207169	0	0	0	0
chr14	63367789	63369845	0	0	0	0
chr14	65245073	65246192	1	1	1	0
chr14	65749305	65750499	0	1	0	1
chr14	67361024	67362564	0	0	0	0
chr14	69522690	69523937	0	0	0	0
chr14	69536074	69537250	0	0	0	0
chr14	70634498	70635318	0	0	0	0
chr14	70639990	70641193	1	1	0	0
chr14	70683794	70684839	0	0	0	1
chr14	73233956	73236326	1	1	0	1
chr14	78287851	78289553	0	0	0	0
chr14	89862491	89863428	0	0	0	0
chr14	91108402	91109355	0	0	0	0
chr14	92678515	92679505	0	0	0	0
chr14	94521150	94522546	1	0	0	0
chr14	97086235	97087505	0	0	0	1
chr14	97100876	97102241	0	0	0	0
chr14	97329515	97330680	1	1	1	0
chr14	97488749	97491425	0	0	0	0
chr14	97537587	97538095	0	0	0	0
chr14	97559884	97561752	0	0	0	0
chr14	97840336	97840805	0	0	0	0
chr14	98018788	98020055	0	0	0	0
chr14	98046622	98048648	0	1	0	0
chr14	98072481	98073981	1	0	0	0
chr14	98082963	98085270	0	0	0	0
chr14	98154698	98157214	0	1	1	0
chr14	98422637	98423400	0	0	0	0
chr14	98448375	98450139	0	0	0	0
chr14	98533924	98535402	0	0	0	0
chr14	98536184	98538781	0	0	0	0
chr14	98683223	98684855	0	0	0	0
chr14	98748098	98751239	0	0	0	0
chr14	98765363	98766176	0	0	0	0
chr14	98819484	98820234	0	0	0	0
chr14	98830064	98831289	0	0	0	0
chr14	98832300	98834612	0	0	0	1
chr14	98838461	98840576	0	0	0	0
chr14	98894511	98895418	0	0	0	0
chr14	98958352	98959867	0	0	0	0
chr14	103763360	103764966	0	1	0	0
chr14	104190395	104191968	0	0	0	0
chr14	104297360	104298672	1	0	0	1
chr14	104834243	104835529	0	0	0	0
chr14	105376563	105379035	0	0	0	1
chr14	118193836	118195430	0	0	0	0
chr14	118229617	118231411	1	1	1	0
chr14	118435485	118436834	1	1	1	0
chr14	122253729	122258284	0	0	0	0
chr15	13391894	13395636	0	1	0	1
chr15	27783860	27785190	0	0	0	0
chr15	34828818	34829716	1	0	1	0
chr15	35532217	35534804	0	0	0	1
chr15	35747988	35749219	0	0	0	0
chr15	37052172	37055037	0	0	0	0
chr15	40255720	40257011	0	0	0	0
chr15	40354034	40356272	0	0	0	0
chr15	40475259	40476782	0	0	0	0
chr15	40657862	40659260	1	0	0	0
chr15	40911362	40915891	1	0	0	0
chr15	40923867	40924925	0	0	0	0
chr15	41039704	41041015	0	0	0	0
chr15	50664833	50666650	0	0	0	1
chr15	52334869	52335444	0	0	0	0
chr15	56165722	56167474	0	0	0	1
chr15	60852996	60854287	1	0	0	1
chr15	61157637	61158731	1	0	0	0
chr15	62902694	62903900	0	0	1	0
chr15	63052414	63053178	1	1	0	1
chr15	63065702	63067611	0	0	0	0
chr15	63193937	63194788	0	0	0	1
chr15	63339170	63341718	0	0	0	0
chr15	63674092	63676818	0	0	0	0
chr15	66824301	66827162	0	0	0	0
chr15	67142033	67143636	0	0	0	0
chr15	67245066	67247938	0	0	0	0
chr15	73739611	73747146	0	0	0	0
chr15	75834812	75835772	0	0	0	0
chr15	76402680	76404351	0	0	0	0
chr15	77036640	77038764	0	0	0	0
chr15	77089079	77090092	0	0	0	0
chr15	79163840	79164236	0	0	0	0
chr15	79165517	79166323	0	0	0	0
chr15	79173761	79174273	0	0	0	0
chr15	79175821	79176550	0	0	0	0
chr15	79208803	79209777	0	0	0	0
chr15	79218952	79220098	0	1	0	0
chr15	79223635	79224085	0	0	0	0
chr15	79323554	79324112	0	0	0	0
chr15	83523007	83524071	0	0	0	0
chr15	83638828	83640718	0	0	0	1
chr15	84217537	84220713	0	0	0	0
chr15	85464142	85464949	0	0	1	0
chr15	86112646	86114946	0	0	0	0
chr15	92514399	92515071	0	0	0	0
chr15	99807076	99809694	0	0	0	0
chr15	102694217	102694945	0	0	0	0
chr15	102999797	103002958	0	0	0	0
chr15	103013812	103014964	0	0	1	0
chr16	5663673	5664669	0	0	0	0
chr16	6366003	6367236	0	0	0	0
chr16	7106398	7107046	0	0	0	0
chr16	7119721	7120895	0	0	0	0
chr16	7407163	7408866	0	0	0	0
chr16	7520398	7521914	0	0	0	0
chr16	7805276	7806470	0	0	0	0
